"fips.code","tract","parish","state","population.00","total.housing.units.00","occupied.housing.units.00","vacant.housing.units.00","population.10","total.housing.units.10","occupied.housing.units.10","vacant.housing.units.10"
22071005500,"Census Tract 55","Orleans Parish","Louisiana",2908,1551,1470,81,2298,1382,1120,262
22071005601,"Census Tract 56.01","Orleans Parish","Louisiana",2926,1444,1357,87,1819,1012,781,231
22071005602,"Census Tract 56.02","Orleans Parish","Louisiana",3160,1490,1421,69,2069,1017,809,208
22071005603,"Census Tract 56.03","Orleans Parish","Louisiana",1843,964,888,76,1255,731,566,165
22071005604,"Census Tract 56.04","Orleans Parish","Louisiana",1946,907,858,49,1251,639,516,123
22071005700,"Census Tract 57","Orleans Parish","Louisiana",510,438,342,96,NA,NA,NA,NA
22071005800,"Census Tract 58","Orleans Parish","Louisiana",487,453,318,135,NA,NA,NA,NA
22071005900,"Census Tract 59","Orleans Parish","Louisiana",797,282,261,21,NA,NA,NA,NA
22071006000,"Census Tract 60","Orleans Parish","Louisiana",1266,499,400,99,1838,616,489,127
22071006300,"Census Tract 63","Orleans Parish","Louisiana",2494,1132,995,137,1761,909,627,282
22071006400,"Census Tract 64","Orleans Parish","Louisiana",3193,1451,1275,176,2504,1428,1044,384
22071006500,"Census Tract 65","Orleans Parish","Louisiana",3312,1623,1414,209,2381,1463,1071,392
22071006700,"Census Tract 67","Orleans Parish","Louisiana",643,501,344,157,NA,NA,NA,NA
22071006800,"Census Tract 68","Orleans Parish","Louisiana",1938,1008,689,319,NA,NA,NA,NA
22071006900,"Census Tract 69","Orleans Parish","Louisiana",4339,1647,1421,226,806,413,318,95
22071007000,"Census Tract 70","Orleans Parish","Louisiana",2172,571,503,68,1637,307,209,98
22071007100,"Census Tract 71","Orleans Parish","Louisiana",7608,646,555,91,NA,NA,NA,NA
22071007101,"Census Tract 71.01","Orleans Parish","Louisiana",NA,NA,NA,NA,1772,1291,928,363
22071007200,"Census Tract 72","Orleans Parish","Louisiana",2576,1305,1038,267,1977,1192,851,341
22071007501,"Census Tract 75.01","Orleans Parish","Louisiana",3100,1426,1239,187,1996,1171,798,373
22071007502,"Census Tract 75.02","Orleans Parish","Louisiana",3819,1555,1416,139,2381,1455,963,492
22071007603,"Census Tract 76.03","Orleans Parish","Louisiana",4724,2755,2472,283,NA,NA,NA,NA
22071007604,"Census Tract 76.04","Orleans Parish","Louisiana",1962,795,780,15,1642,730,596,134
22071007605,"Census Tract 76.05","Orleans Parish","Louisiana",1772,747,668,79,1270,728,520,208
22071007606,"Census Tract 76.06","Orleans Parish","Louisiana",NA,NA,NA,NA,3147,2246,1551,695
22071007700,"Census Tract 77","Orleans Parish","Louisiana",1628,1180,894,286,2488,2160,1629,531
22071007800,"Census Tract 78","Orleans Parish","Louisiana",1186,841,665,176,1201,821,654,167
22071007900,"Census Tract 79","Orleans Parish","Louisiana",847,577,462,115,NA,NA,NA,NA
22071008000,"Census Tract 80","Orleans Parish","Louisiana",870,442,333,109,NA,NA,NA,NA
22071008101,"Census Tract 81.01","Orleans Parish","Louisiana",2551,1198,702,496,NA,NA,NA,NA
22071008102,"Census Tract 81.02","Orleans Parish","Louisiana",406,231,132,99,NA,NA,NA,NA
22071008200,"Census Tract 82","Orleans Parish","Louisiana",1886,1288,1132,156,1547,1211,981,230
22071008300,"Census Tract 83","Orleans Parish","Louisiana",1416,727,641,86,1127,703,579,124
22071008400,"Census Tract 84","Orleans Parish","Louisiana",1239,858,674,184,1085,1122,623,499
22071008500,"Census Tract 85","Orleans Parish","Louisiana",1778,816,678,138,1105,746,428,318
22071008600,"Census Tract 86","Orleans Parish","Louisiana",1599,848,677,171,900,706,376,330
22071008700,"Census Tract 87","Orleans Parish","Louisiana",768,316,268,48,NA,NA,NA,NA
22071008800,"Census Tract 88","Orleans Parish","Louisiana",1967,968,835,133,1694,987,842,145
22071008900,"Census Tract 89","Orleans Parish","Louisiana",1535,755,647,108,NA,NA,NA,NA
22071009000,"Census Tract 90","Orleans Parish","Louisiana",1970,1262,1117,145,1926,1221,1063,158
22071009100,"Census Tract 91","Orleans Parish","Louisiana",2569,1498,1237,261,1949,1448,1011,437
22071009200,"Census Tract 92","Orleans Parish","Louisiana",1950,1023,817,206,1110,866,498,368
22071009301,"Census Tract 93.01","Orleans Parish","Louisiana",1190,600,527,73,NA,NA,NA,NA
22071009302,"Census Tract 93.02","Orleans Parish","Louisiana",2259,987,814,173,NA,NA,NA,NA
22071009400,"Census Tract 94","Orleans Parish","Louisiana",2190,1186,895,291,1041,947,420,527
22071009600,"Census Tract 96","Orleans Parish","Louisiana",1610,836,706,130,1405,833,688,145
22071009700,"Census Tract 97","Orleans Parish","Louisiana",1610,795,680,115,1294,783,636,147
22071009900,"Census Tract 99","Orleans Parish","Louisiana",3242,1888,1672,216,2998,1845,1572,273
22071010000,"Census Tract 100","Orleans Parish","Louisiana",2355,1271,974,297,1533,1045,679,366
22071010100,"Census Tract 101","Orleans Parish","Louisiana",2429,1349,1178,171,2079,1266,1030,236
22071010200,"Census Tract 102","Orleans Parish","Louisiana",2696,1187,1023,164,1674,1037,663,374
22071010300,"Census Tract 103","Orleans Parish","Louisiana",3423,1445,1269,176,2198,1412,856,556
22071010400,"Census Tract 104","Orleans Parish","Louisiana",395,215,195,20,NA,NA,NA,NA
22071010500,"Census Tract 105","Orleans Parish","Louisiana",1421,781,668,113,NA,NA,NA,NA
22071010600,"Census Tract 106","Orleans Parish","Louisiana",1574,834,741,93,1305,822,699,123
22071010700,"Census Tract 107","Orleans Parish","Louisiana",1849,1124,976,148,1764,1093,903,190
22071010800,"Census Tract 108","Orleans Parish","Louisiana",1449,796,735,61,1412,786,696,90
22071010900,"Census Tract 109","Orleans Parish","Louisiana",3383,1680,1522,158,2808,1596,1322,274
22071011100,"Census Tract 111","Orleans Parish","Louisiana",2446,1085,902,183,1715,934,648,286
22071011200,"Census Tract 112","Orleans Parish","Louisiana",1534,725,681,44,1283,727,561,166
22071011400,"Census Tract 114","Orleans Parish","Louisiana",1842,1122,1031,91,1876,1094,987,107
22071011500,"Census Tract 115","Orleans Parish","Louisiana",1692,824,747,77,1510,781,693,88
22071011600,"Census Tract 116","Orleans Parish","Louisiana",1529,753,704,49,1447,704,641,63
22071011700,"Census Tract 117","Orleans Parish","Louisiana",3019,1343,1261,82,2924,1340,1207,133
22071011900,"Census Tract 119","Orleans Parish","Louisiana",1764,826,777,49,1741,838,724,114
22071012000,"Census Tract 120","Orleans Parish","Louisiana",1351,721,650,71,1496,735,664,71
22071012101,"Census Tract 121.01","Orleans Parish","Louisiana",2233,1053,973,80,2855,955,859,96
22071012102,"Census Tract 121.02","Orleans Parish","Louisiana",3310,656,588,68,3892,603,547,56
22071012200,"Census Tract 122","Orleans Parish","Louisiana",2191,1002,930,72,1968,987,844,143
22071012300,"Census Tract 123","Orleans Parish","Louisiana",2275,1052,965,87,1900,1044,786,258
22071012400,"Census Tract 124","Orleans Parish","Louisiana",1873,855,775,80,1620,855,669,186
22071012500,"Census Tract 125","Orleans Parish","Louisiana",1772,1111,967,144,1734,1070,936,134
22071012600,"Census Tract 126","Orleans Parish","Louisiana",1929,1105,1044,61,1942,1086,961,125
22071012700,"Census Tract 127","Orleans Parish","Louisiana",2509,1261,1138,123,2311,1286,1123,163
22071012800,"Census Tract 128","Orleans Parish","Louisiana",2676,1249,1140,109,2161,1139,930,209
22071012900,"Census Tract 129","Orleans Parish","Louisiana",1572,895,798,97,1397,895,761,134
22071013000,"Census Tract 130","Orleans Parish","Louisiana",1993,941,826,115,1490,952,698,254
22071013100,"Census Tract 131","Orleans Parish","Louisiana",2156,888,733,155,1425,867,546,321
22071013200,"Census Tract 132","Orleans Parish","Louisiana",3232,1405,1276,129,2457,1336,996,340
22071013301,"Census Tract 133.01","Orleans Parish","Louisiana",3615,1642,1543,99,3453,1631,1435,196
22071013302,"Census Tract 133.02","Orleans Parish","Louisiana",2162,713,689,24,2464,1033,982,51
22071013400,"Census Tract 134","Orleans Parish","Louisiana",NA,NA,NA,NA,2276,1782,1260,522
22071013500,"Census Tract 135","Orleans Parish","Louisiana",NA,NA,NA,NA,2338,2929,1616,1313
22071013600,"Census Tract 136","Orleans Parish","Louisiana",NA,NA,NA,NA,933,630,417,213
22071013700,"Census Tract 137","Orleans Parish","Louisiana",NA,NA,NA,NA,2005,911,678,233
22071013800,"Census Tract 138","Orleans Parish","Louisiana",NA,NA,NA,NA,974,688,403,285
22071013900,"Census Tract 139","Orleans Parish","Louisiana",NA,NA,NA,NA,1524,985,741,244
22071014000,"Census Tract 140","Orleans Parish","Louisiana",NA,NA,NA,NA,1599,1070,773,297
22071014100,"Census Tract 141","Orleans Parish","Louisiana",NA,NA,NA,NA,2161,1171,1001,170
22071014200,"Census Tract 142","Orleans Parish","Louisiana",NA,NA,NA,NA,1679,1004,823,181
22071014300,"Census Tract 143","Orleans Parish","Louisiana",NA,NA,NA,NA,944,838,409,429
22071014400,"Census Tract 144","Orleans Parish","Louisiana",NA,NA,NA,NA,1566,960,807,153
22071014500,"Census Tract 145","Orleans Parish","Louisiana",NA,NA,NA,NA,3059,0,0,0
22071980000,"Census Tract 9800","Orleans Parish","Louisiana",NA,NA,NA,NA,4,0,0,0
22071980100,"Census Tract 9801","Orleans Parish","Louisiana",NA,NA,NA,NA,4,4,3,1
22071990000,"Census Tract 9900","Orleans Parish","Louisiana",NA,NA,NA,NA,0,0,0,0
